cell,cluster
HNSCC25_P12_C06_S126_comb,T_cell
HNSCC25_P12_D02_S134_comb,T_cell
HNSCC25_P12_A03_S99_comb,T_cell
HNSCC25_P4_B12_S216_comb,Fibroblast
HNSCC25_P4_C10_S226_comb,malignant
HNSCC25_P4_F01_S253_comb,myofibroblast
HNSCC25_P4_B07_S211_comb,myofibroblast
HNSCC25_P4_A10_S202_comb,CAF
HNSCC25_P12_E10_S154_comb,T_cell
HNSCC25_P4_E07_S247_comb,Fibroblast
HNSCC25_P12_E04_S148_comb,T_cell
HNSCC25_P4_G11_S275_comb,malignant
HNSCC25_P4_F12_S264_comb,malignant
HNSCC25_P12_B01_S109_comb,T_cell
HNSCC25_P4_H09_S285_comb,T_cell
HNSCC25_P12_A10_S106_comb,T_cell
HNSCC25_P4_E08_S248_comb,myofibroblast
HNSCC25_P4_A04_S196_comb,malignant
HNSCC25_P4_F08_S260_comb,myofibroblast
HNSCC25_P4_G09_S273_comb,Fibroblast
HNSCC25_P4_C08_S224_comb,myofibroblast
HNSCC25_P4_A09_S201_comb,Fibroblast
HNSCC25_P12_B08_S116_comb,T_cell
HNSCC25_P12_G01_S169_comb,T_cell
HNSCC25_P4_D07_S235_comb,Fibroblast
HNSCC25_P12_G05_S173_comb,T_cell
HNSCC25_P4_E01_S241_comb,myofibroblast
HNSCC25_P4_F06_S258_comb,myofibroblast
HNSCC25_P12_H04_S184_comb,T_cell
HNSCC25_P4_H02_S278_comb,malignant
HNSCC25_P12_A01_S97_comb,T_cell
HNSCC25_P4_C06_S222_comb,malignant
HNSCC25_P4_A06_S198_comb,CAF
HNSCC25_P12_H10_S190_comb,T_cell
HNSCC25_P12_D01_S133_comb,T_cell
HNSCC25_P4_G04_S268_comb,Fibroblast
HNSCC25_P12_C09_S129_comb,T_cell
HNSCC25_P4_G03_S267_comb,myofibroblast
HNSCC25_P4_D06_S234_comb,myofibroblast
HNSCC25_P4_H10_S286_comb,CAF
HNSCC25_P4_B10_S214_comb,myofibroblast
HNSCC25_P4_D12_S240_comb,malignant
HNSCC25_P12_F12_S168_comb,T_cell
HNSCC25_P4_B02_S206_comb,myofibroblast
HNSCC25_P4_G06_S270_comb,malignant
HNSCC25_P4_E11_S251_comb,malignant
HNSCC25_P4_G01_S265_comb,myofibroblast
HNSCC25_P4_E09_S249_comb,malignant
HNSCC25_P4_C12_S228_comb,Mast
HNSCC25_P12_F01_S157_comb,T_cell
